original_sentence_id	sentence	locale
000c9079c659141c1095ac09f31f97233697c99a1d3e855b11033620ff7d5142	Susan was always ready to replenish the wallets and fill the cans.	en
047585e4b491ea7a3307f90a3763d4984c7e7ea09f089be9538c94f12423e5fb	This sin has been so public that hardly anyone has blushed for it.	en
08338c9d79287816e4f9e13959fc94e429267c4df53dcd82d3bf08f9a5051762	Nothing but honour, kindness, and contentment would replenish the world.	en
09008ce45d80c71b3924c8fdf2bca38e75bf0a478c54d18c64a99a5cdff103bc	You will proceed toward the window and sit down in that slop-tub.	en
0aa617d02e237b764881c9f9295a6472b53192b833b25003bd52d1cd24e9fb9c	Between the two shanks a strong ledge can be drawn.	en
0b5a69eda23d1b1947844234a1a2362f0bed80a780355249eb4eac585f295053	The weather was very tempestuous, and not likely to change.	en
0be7bc9e7f8536508384944575013daa885f261bfb99b09a68190de93f806790	That stirring theme was long a stock subject for College exercises.	en
0e3f844aed57abe9c45b5467d5f80831120943f07f43e13e278c4993adc8e745	Both these tendencies became more concentrated.	en
12041b0b203f5838a603cc25758fd222bfc3464f65753a19a34d1b540d94f0a5	He will suddenly turn his copy.	en
13426c954af7bbf23d6451fd954d7b8a46f6834282789c66469cfdd1bda14db5	There is no sectarianism, either of politics or religion.	en
192ccd326bb0e5ef06bc9aa37afb72b19c1211d4d548e8aca7c8115c65d672bd	He was dismissed from the headmastership and imprisoned.	en
19bbe27ac9380dad0d0ce6604ee32de4fae389729a8a9ac92f2c2438c24c27b7	That hedgehog of thoughts began to stir and unfold and come to life.	en
1c7a386a570bbb8d8c4968292016efa3548b070b44fb14d340b0d9261234e983	The poet lets a possessive pronoun go without a substantive.	en
1f2cc623c7981189188790b905c53908b9824603adf3f66cb40b141e0fff0587	No plan was so suggestive as that of quenching his sight.	en
202eeaaa37bb446c3ca7c5b9e4ea68691e6f7879ccfd6015af4d4e225aa5ad8f	The empire was parcelled into twelve grand divisions.	en
24a6464fe85bc64b428c6b406026ac0793d7d14566eb2a3f39c6fdfd0e7b0a88	Jim soon woke up and stretched himself.	en
2582532e5ff36bea858f4206512bb293a5cec2d01c7c38538a289685ed68aa6d	Miss Broughton has been attending the meetings of the Psychical Society.	en
27bb130614c23073b7a3f4b936742f612d8f0e1d5654e1704a06c4247cf00d3c	They must have had an original to copy after.	en
2bb616915aecdca2d4682d12211dbb66c4f729e302fe0a4333a62bf9fea90a4e	What right does he have to ask questions anyway?	en
2fafa78b0ee6bb9479acf419085c3909b66c8816030dd64a5a897e1b75c2c9a8	The milk cars cost about a thousand dollars each.	en
